monthly_mobile_spend_naira,post_harvest_loss_perc,distance_to_market_km,distance_to_bank_km,percentage_sold_unprocessed,percentage_consumed,income_per_capita_ngn,annual_farm_revenue_ngn,annual_farm_yield_tons_per_ha,farm_size_ha,farming_experience_years,age,education_category,primary_crop,mobile_money_usage_frequency,creditworthiness_category,mobile_money_activity_score_1_10,cooperative_repayment_rate_percent,prior_loan_repayment_rate,has_off_farm_income,credit_score,gender,has_land_title,has_weather_insurance,smartphone_owner,cooperative_member,has_prior_loan,household_size
373,36.84,62.7,91.4,8.0,22.2,87333.0,350000.0,2.36,0.78,1,31,HND/BSc,Sorghum,Never,Fair,1,0,0.0,True,603,Male,False,False,False,False,False,9
1139,20.43,15.2,15.6,25.7,36.2,396545.0,4362000.0,16.6,2.19,9,25,No Formal Education,Cassava,Never,Poor,1,0,0.74,False,550,Male,False,False,False,False,True,11
5496,17.81,67.4,33.8,21.4,23.4,103692.0,1348000.0,1.43,2.36,40,61,Secondary Complete,Cowpea,Daily,Very Good,9,0,0.82,False,662,Male,False,False,True,False,True,13
2059,17.85,7.5,118.2,30.8,39.5,410571.0,2874000.0,27.85,0.86,34,50,Secondary Incomplete,Cassava,Monthly,Fair,5,75,0.48,False,563,Male,False,False,True,True,True,7
5428,27.05,64.7,16.9,23.0,30.6,33385.0,434000.0,15.53,0.1,21,39,Primary Incomplete,Yam,Weekly,Very Good,5,0,0.0,False,698,Male,False,True,True,False,False,13
1127,20.08,32.0,40.7,17.1,36.4,278889.0,2461000.0,12.38,0.71,5,28,No Formal Education,Yam,Never,Fair,1,62,0.0,True,566,Male,False,False,False,True,False,9
2277,11.17,65.4,55.1,23.3,31.9,285750.0,3366000.0,11.45,1.05,33,52,No Formal Education,Yam,Monthly,Very Good,10,81,0.69,True,699,Male,False,False,True,True,True,12
920,38.54,2.0,8.4,20.1,20.8,60000.0,360000.0,1.77,0.51,34,52,Secondary Complete,Cowpea,Monthly,Good,6,0,0.0,False,641,Male,False,False,True,False,False,6
3868,12.85,64.9,98.4,23.7,23.1,29091.0,320000.0,1.2,0.67,19,42,Primary Incomplete,Cowpea,Daily,Fair,2,0,0.0,False,594,Male,False,False,True,False,False,11
833,38.56,4.6,94.1,28.8,26.0,236857.0,1658000.0,19.19,0.27,9,25,Secondary Incomplete,Vegetables,Never,Poor,1,0,0.0,False,530,Male,False,False,False,False,False,7
552,19.43,14.3,84.2,28.4,8.2,20643.0,224000.0,2.37,0.27,4,20,No Formal Education,Rice,Never,Good,1,85,0.0,True,643,Male,False,False,False,True,False,14
4270,30.29,43.1,55.2,7.9,17.2,11545.0,127000.0,1.31,0.51,2,18,No Formal Education,Guinea Corn,Monthly,Poor,8,73,0.78,False,549,Female,False,False,True,True,True,11
687,9.95,12.8,83.7,32.5,31.3,335333.0,1006000.0,26.2,0.32,27,62,Secondary Complete,Cassava,Never,Fair,1,0,0.64,False,579,Female,False,False,False,False,True,3
1226,38.02,16.2,135.6,24.0,23.2,659200.0,3102000.0,13.96,1.01,1,17,Primary Complete,Plantain,Rarely,Poor,5,0,0.0,True,553,Male,False,False,True,False,False,5
2542,17.24,12.2,33.5,16.9,27.8,65571.0,918000.0,6.98,0.47,7,44,Primary Complete,Yam,Monthly,Poor,4,0,0.79,False,558,Male,False,False,True,False,True,14
3751,32.65,62.6,51.7,20.4,34.7,1675600.0,8378000.0,9.59,3.12,3,19,No Formal Education,Yam,Monthly,Poor,8,0,0.5,False,480,Male,False,False,True,False,True,5
1169,6.34,14.2,59.8,21.0,22.8,18000.0,252000.0,0.97,0.65,8,41,Secondary Complete,Cowpea,Never,Fair,1,0,0.0,False,597,Male,False,False,False,False,False,14
1110,34.64,23.1,16.2,20.8,26.4,173500.0,694000.0,3.73,0.93,39,58,Primary Complete,Maize,Never,Fair,1,0,0.0,False,616,Male,False,False,False,False,False,4
4918,9.37,51.2,30.1,21.8,29.1,373077.0,4774000.0,13.22,1.29,3,19,No Formal Education,Yam,Daily,Fair,6,88,0.0,True,600,Male,False,False,True,True,False,13
866,7.09,47.4,57.8,36.7,7.9,142250.0,1066000.0,1.36,1.74,10,42,No Formal Education,Groundnut,Never,Poor,1,0,0.0,True,544,Female,False,False,False,False,False,8
2427,6.87,26.2,38.9,27.8,10.3,82385.0,1071000.0,1.02,2.33,22,39,Primary Incomplete,Groundnut,Monthly,Fair,4,0,0.6,False,617,Male,False,False,True,False,True,13
536,10.12,20.7,92.4,26.3,21.3,48250.0,222000.0,0.82,0.45,12,35,Secondary Complete,Sesame,Never,Very Good,1,80,0.0,True,665,Female,False,False,False,True,False,12
4903,15.68,35.5,13.7,17.8,25.8,214778.0,1716000.0,2.2,1.95,11,63,Secondary Incomplete,Cowpea,Monthly,Excellent,9,0,0.0,True,756,Male,False,False,True,False,False,9
3323,9.87,21.5,69.3,30.4,35.5,98800.0,988000.0,26.54,0.31,20,36,Primary Complete,Cassava,Weekly,Very Good,7,93,0.0,False,666,Male,True,False,True,True,False,10
106,9.34,5.3,80.2,28.4,32.6,127800.0,1278000.0,23.67,0.45,4,20,Primary Complete,Cassava,Never,Very Poor,1,0,0.0,False,465,Male,False,False,False,False,False,10
5380,5.5,28.7,46.7,24.8,25.7,92923.0,1208000.0,2.92,2.07,15,60,Secondary Complete,Maize,Monthly,Good,6,66,0.0,False,659,Male,False,False,True,True,False,13
1429,17.74,5.4,72.8,26.0,9.1,39857.0,256000.0,1.43,0.4,4,20,Secondary Complete,Groundnut,Monthly,Excellent,6,81,0.0,True,750,Female,False,False,True,True,False,14
573,12.77,11.8,99.5,27.5,32.1,481889.0,4337000.0,22.31,1.62,3,19,OND/NCE,Cassava,Never,Fair,1,87,0.78,False,592,Male,False,False,False,True,True,9
350,16.68,16.1,109.2,30.5,42.2,749000.0,2141000.0,14.27,1.25,4,20,Primary Incomplete,Cassava,Never,Poor,1,0,0.49,True,509,Male,False,False,False,False,True,3
4425,13.11,51.2,12.7,24.3,27.6,82250.0,248000.0,1.59,0.39,15,31,No Formal Education,Cowpea,Never,Fair,1,65,0.0,True,597,Male,False,False,True,True,False,4
999,5.62,48.8,108.1,25.5,25.4,457273.0,5030000.0,20.42,0.77,21,43,No Formal Education,Vegetables,Never,Very Poor,1,0,0.0,False,467,Male,False,False,False,False,False,11
4137,15.36,40.3,69.1,19.2,26.9,75000.0,300000.0,1.39,0.54,20,47,No Formal Education,Cowpea,Daily,Poor,10,0,0.49,False,523,Male,False,False,True,False,True,4
428,5.66,7.2,76.4,32.1,35.6,954143.0,6679000.0,18.25,3.05,31,47,Secondary Complete,Cassava,Never,Fair,1,79,0.0,False,582,Male,True,False,False,True,False,7
3211,20.61,50.5,82.3,24.3,23.5,100429.0,1096000.0,2.0,1.37,17,45,HND/BSc,Beans,Weekly,Excellent,9,0,0.82,True,786,Male,False,False,True,False,True,14
517,23.91,62.7,58.7,21.5,27.0,110833.0,1330000.0,10.79,0.44,28,50,Primary Incomplete,Yam,Never,Poor,1,0,0.0,False,550,Male,False,False,False,False,False,12
979,37.26,10.0,144.4,23.2,23.4,143571.0,1828000.0,1.55,3.1,4,20,Primary Complete,Soybean,Never,Fair,1,0,0.0,True,573,Male,False,False,False,False,False,14
408,17.43,63.5,50.0,23.8,28.3,796500.0,3186000.0,11.49,0.99,10,46,Primary Complete,Yam,Monthly,Fair,10,0,0.0,False,576,Female,False,False,True,False,False,4
672,16.02,50.7,40.9,18.2,28.7,255000.0,3315000.0,11.96,0.99,1,31,Secondary Incomplete,Yam,Never,Fair,1,73,0.0,False,575,Female,False,False,False,True,False,13
833,38.39,15.0,55.0,23.2,20.0,251273.0,2764000.0,2.78,4.97,19,57,Secondary Complete,Maize,Never,Fair,1,75,0.0,False,593,Female,False,False,False,True,False,11
449,27.05,6.4,41.7,22.9,8.4,183667.0,1575000.0,2.78,1.62,12,62,Primary Incomplete,Rice,Never,Fair,1,0,0.0,True,601,Male,False,False,False,False,False,9
2221,29.47,52.4,93.7,18.4,35.9,259800.0,2598000.0,14.28,0.65,4,20,Secondary Incomplete,Yam,Monthly,Poor,6,0,0.61,False,497,Male,False,False,True,False,True,10
434,36.65,46.7,18.4,25.7,20.8,153857.0,940000.0,1.81,1.3,23,53,Primary Complete,Cowpea,Never,Good,1,98,0.0,True,646,Male,False,False,False,True,False,7
842,12.47,49.5,71.7,20.3,23.3,151333.0,1816000.0,1.44,3.15,21,54,Primary Incomplete,Cowpea,Never,Poor,1,0,0.0,False,517,Male,False,False,False,False,False,12
2214,8.37,63.7,126.6,7.0,18.9,151727.0,1558000.0,2.05,4.0,26,42,Primary Complete,Sorghum,Monthly,Good,6,0,0.0,True,627,Male,False,False,True,False,False,11
2520,14.14,12.7,20.8,19.2,26.6,338786.0,4743000.0,12.1,1.4,12,31,No Formal Education,Yam,Monthly,Fair,8,0,0.57,False,583,Male,False,False,True,False,True,14
3577,16.05,17.6,37.5,25.4,10.2,414750.0,3146000.0,3.86,2.33,2,64,Primary Complete,Rice,Never,Good,1,0,0.0,True,620,Male,False,True,True,False,False,8
252,44.97,69.2,82.1,26.9,33.7,699000.0,4603000.0,22.97,1.67,1,17,Secondary Complete,Cassava,Never,Poor,1,0,0.0,True,559,Male,False,False,False,False,False,7
842,26.4,8.3,1.3,27.9,8.5,41000.0,452000.0,3.48,0.37,2,54,No Formal Education,Rice,Never,Fair,1,0,0.0,True,593,Male,False,False,False,False,False,13
2774,22.7,10.4,56.7,16.4,27.2,89750.0,650000.0,6.11,0.38,2,28,No Formal Education,Yam,Rarely,Fair,1,73,0.0,True,580,Male,False,False,True,True,False,8
1235,37.6,42.1,99.4,22.1,21.7,74200.0,250000.0,2.85,0.44,29,45,OND/NCE,Maize,Rarely,Good,7,0,0.0,True,647,Male,False,False,True,False,False,10
841,17.69,50.1,17.2,6.5,16.5,140364.0,1482000.0,1.67,4.67,11,48,No Formal Education,Guinea Corn,Never,Poor,1,0,0.0,True,503,Male,False,False,False,False,False,11
308,18.62,16.9,49.6,18.2,21.2,93400.0,380000.0,1.15,0.83,20,38,No Formal Education,Beans,Never,Good,1,74,0.0,True,624,Female,False,False,False,True,False,5
904,10.99,62.6,46.0,21.5,22.1,165333.0,328000.0,1.41,0.58,22,38,Primary Complete,Beans,Never,Fair,1,0,0.78,True,585,Male,False,False,False,False,True,3
5811,25.97,39.8,95.7,5.9,21.5,809667.0,2345000.0,2.7,4.57,5,53,No Formal Education,Guinea Corn,Monthly,Good,8,77,0.0,True,633,Male,False,False,True,True,False,3
1032,29.55,57.6,111.5,25.5,22.5,17077.0,222000.0,0.83,0.44,26,42,Primary Complete,Sesame,Daily,Poor,7,0,0.61,False,536,Male,False,False,True,False,True,13
3432,18.56,8.7,85.4,30.7,29.6,138100.0,1271000.0,18.58,0.57,31,55,No Formal Education,Cassava,Monthly,Excellent,8,70,0.0,True,702,Male,False,False,True,True,False,10
693,38.54,2.3,82.8,20.9,35.9,78182.0,860000.0,9.04,0.34,22,42,Primary Incomplete,Yam,Never,Poor,1,0,0.0,False,539,Female,False,False,False,False,False,11
2968,7.54,16.3,92.5,6.3,18.0,173857.0,2434000.0,3.31,3.87,31,55,Secondary Complete,Sorghum,Rarely,Very Good,9,61,0.0,False,678,Male,False,False,True,True,False,14
4097,10.08,53.8,13.2,28.4,41.5,140000.0,420000.0,15.92,0.22,26,42,No Formal Education,Cassava,Monthly,Excellent,3,76,0.83,False,743,Female,False,True,True,True,True,3
291,11.28,57.2,24.6,18.5,24.7,22545.0,248000.0,1.17,0.53,18,34,No Formal Education,Cowpea,Never,Fair,1,80,0.0,False,590,Male,False,False,False,True,False,11
210,27.22,48.9,78.7,25.8,26.4,562000.0,2172000.0,1.62,3.35,31,64,No Formal Education,Cowpea,Never,Fair,1,0,0.0,True,577,Male,False,False,False,False,False,4
714,21.39,58.0,40.1,22.7,24.3,31917.0,214000.0,2.27,0.47,13,29,Primary Complete,Maize,Never,Good,1,0,0.0,True,644,Male,False,False,False,False,False,12
450,8.46,42.3,74.7,20.2,35.5,237200.0,1092000.0,14.43,0.27,26,42,Primary Complete,Yam,Never,Very Good,1,0,0.0,True,695,Female,False,True,False,False,False,5
1006,24.07,53.9,10.7,24.5,42.1,991400.0,4850000.0,11.75,3.44,1,16,No Formal Education,Cassava,Never,Fair,1,0,0.0,True,564,Male,False,False,False,False,False,5
5639,43.22,40.4,85.4,25.4,27.0,76222.0,568000.0,0.93,1.53,1,52,Primary Complete,Beans,Monthly,Fair,10,0,0.0,True,606,Male,False,False,True,False,False,9
517,14.23,65.8,79.6,20.7,23.4,745100.0,7451000.0,11.68,2.9,3,30,Primary Complete,Plantain,Never,Poor,1,0,0.68,False,498,Male,False,False,False,False,True,10
246,30.75,15.7,42.2,8.3,22.5,154000.0,462000.0,1.8,1.35,10,26,Secondary Incomplete,Sorghum,Never,Fair,1,0,0.0,False,565,Male,False,False,False,False,False,3
496,43.89,34.6,51.1,28.0,25.7,131500.0,886000.0,2.26,1.96,10,26,Primary Complete,Maize,Never,Poor,1,0,0.0,True,558,Male,False,False,False,False,False,8
1150,22.67,50.5,8.9,8.3,22.3,65091.0,542000.0,2.21,1.29,17,58,Primary Complete,Guinea Corn,Never,Fair,1,0,0.0,True,608,Female,False,False,False,False,False,11
934,38.61,33.7,125.7,27.4,25.2,325750.0,2343000.0,2.38,1.79,8,24,Secondary Incomplete,Cotton,Never,Good,1,63,0.0,True,620,Female,False,False,False,True,False,8
2117,32.52,3.3,69.5,8.1,18.2,66500.0,665000.0,2.45,1.43,31,50,No Formal Education,Guinea Corn,Monthly,Poor,9,0,0.0,False,531,Female,False,False,True,False,False,10
1199,30.34,67.6,83.7,24.1,27.6,1700429.0,11558000.0,25.26,1.43,40,56,Secondary Complete,Vegetables,Never,Fair,1,0,0.0,True,610,Male,False,False,False,False,False,7
473,42.2,12.9,118.4,27.3,9.2,222667.0,1134000.0,4.38,0.74,11,27,Primary Complete,Rice,Weekly,Excellent,4,62,0.91,True,768,Male,False,False,True,True,True,6
2549,35.7,18.1,39.3,18.4,31.0,422429.0,2957000.0,9.43,1.12,1,37,Primary Incomplete,Yam,Rarely,Poor,5,73,0.0,False,545,Male,False,False,True,True,False,7
865,43.22,24.6,113.6,22.7,26.3,30800.0,308000.0,9.13,0.12,4,20,No Formal Education,Yam,Never,Poor,1,80,0.0,False,537,Male,False,False,False,True,False,10
5200,17.51,56.6,42.8,22.1,27.2,165500.0,2222000.0,2.53,4.39,19,65,Primary Complete,Maize,Weekly,Excellent,8,0,0.0,True,704,Male,False,False,True,False,False,14
767,5.33,4.7,64.5,24.1,39.7,161143.0,1128000.0,19.58,0.48,11,27,No Formal Education,Cassava,Never,Fair,1,88,0.79,False,564,Female,False,False,False,True,True,7
1333,31.93,54.3,128.9,20.8,25.4,65000.0,504000.0,1.63,0.77,9,39,Primary Complete,Cowpea,Rarely,Good,3,0,0.0,True,632,Male,False,False,True,False,False,10
1021,35.71,67.9,48.0,30.8,41.0,128143.0,1478000.0,19.87,0.62,12,48,HND/BSc,Cassava,Monthly,Excellent,10,0,0.0,True,708,Female,False,False,True,False,False,14
772,41.67,12.2,124.6,22.5,29.2,41000.0,410000.0,11.41,0.3,10,26,Primary Complete,Cassava,Never,Poor,1,70,0.0,False,540,Male,False,False,False,True,False,10
2561,13.84,14.1,86.3,17.5,28.6,16000.0,224000.0,8.04,0.1,1,45,Primary Incomplete,Yam,Daily,Poor,6,0,0.0,False,536,Female,False,False,True,False,False,14
1054,26.67,16.9,34.3,34.2,9.5,652000.0,652000.0,1.56,0.93,10,26,Secondary Complete,Groundnut,Never,Good,1,0,0.0,False,625,Female,False,False,False,False,False,1
989,43.42,4.2,76.5,5.8,17.3,91727.0,1009000.0,2.3,2.31,8,24,No Formal Education,Sorghum,Never,Fair,1,67,0.0,False,586,Male,False,False,False,True,False,11
1117,6.7,40.2,31.0,16.0,31.9,160250.0,641000.0,9.56,0.24,8,24,No Formal Education,Yam,Never,Very Poor,1,0,0.0,False,469,Male,False,False,False,False,False,4
4720,12.73,15.3,51.7,18.4,34.1,459000.0,5967000.0,12.32,1.73,9,25,Primary Complete,Yam,Rarely,Fair,1,92,0.0,False,591,Male,False,False,True,True,False,13
2138,21.53,25.4,38.2,24.6,27.6,16000.0,224000.0,1.1,0.51,13,29,Secondary Complete,Cowpea,Rarely,Fair,7,63,0.0,False,597,Male,False,False,True,True,False,14
390,41.6,28.0,32.6,28.8,21.2,611200.0,3056000.0,3.82,4.0,4,20,Secondary Complete,Maize,Never,Fair,1,0,0.0,False,583,Male,False,False,False,False,False,5
802,38.08,56.6,24.7,24.8,21.1,164083.0,1869000.0,1.42,1.88,9,53,No Formal Education,Rubber,Daily,Fair,9,0,0.71,True,614,Male,False,False,True,False,True,12
2383,28.11,4.4,90.9,21.3,26.4,153833.0,1727000.0,2.04,1.54,33,49,Primary Complete,Cotton,Weekly,Excellent,8,62,0.0,True,737,Male,False,False,True,True,False,12
3403,12.27,62.2,98.3,20.4,21.0,34727.0,230000.0,2.68,0.43,5,21,Primary Complete,Maize,Monthly,Very Good,8,69,0.0,True,672,Female,False,False,True,True,False,11
1486,17.09,49.4,10.9,8.0,21.4,759750.0,2715000.0,3.59,3.98,17,39,OND/NCE,Guinea Corn,Daily,Good,7,0,0.6,True,633,Male,False,False,True,False,True,4
4208,14.31,9.9,16.7,20.9,34.4,65667.0,490000.0,7.01,0.25,14,30,No Formal Education,Yam,Monthly,Fair,9,0,0.0,True,578,Male,False,False,True,False,False,9
2476,14.19,68.0,60.4,24.8,24.2,283000.0,1132000.0,0.65,4.35,1,16,Primary Complete,Beans,Weekly,Poor,1,95,0.48,False,484,Male,False,False,True,True,True,4
1068,36.66,35.8,54.2,8.0,17.5,32231.0,419000.0,1.94,1.2,14,64,OND/NCE,Millet,Daily,Good,8,0,0.62,False,654,Female,False,False,True,False,True,13
731,8.38,46.9,32.1,19.8,29.5,243889.0,2061000.0,10.99,0.67,4,34,Secondary Incomplete,Yam,Never,Fair,1,91,0.0,True,566,Male,False,False,False,True,False,9
336,16.43,1.7,17.8,5.8,20.7,68800.0,344000.0,2.78,0.65,10,26,Primary Incomplete,Sorghum,Weekly,Poor,3,0,0.43,False,480,Female,False,False,True,False,True,5
1036,40.86,22.9,146.1,26.0,20.9,35571.0,412000.0,0.9,1.14,2,18,No Formal Education,Cowpea,Weekly,Poor,1,0,0.51,True,509,Male,False,False,True,False,True,14
509,41.43,41.4,17.4,19.7,26.4,145417.0,1464000.0,1.77,2.07,30,50,OND/NCE,Beans,Never,Good,1,0,0.58,True,638,Male,False,False,False,False,True,12
4847,29.77,2.5,34.7,26.9,28.8,207000.0,2168000.0,19.43,0.93,22,38,Primary Incomplete,Cassava,Daily,Good,3,0,0.0,True,647,Male,False,False,True,False,False,11
1242,16.25,11.1,129.2,18.9,20.9,56333.0,676000.0,1.33,1.27,13,49,No Formal Education,Cowpea,Weekly,Poor,8,0,0.55,False,545,Male,False,False,True,False,True,12
5042,36.78,32.5,45.5,31.9,36.1,1966000.0,5898000.0,14.54,3.38,8,47,Secondary Complete,Cassava,Weekly,Very Good,7,62,0.0,False,674,Male,False,False,True,True,False,3
3123,7.82,31.2,21.9,18.8,26.4,397571.0,5566000.0,9.89,2.01,17,63,Primary Complete,Yam,Weekly,Very Good,6,60,0.86,False,665,Male,False,False,True,True,True,14
1337,39.13,16.7,57.5,19.7,25.4,411000.0,1644000.0,15.86,0.37,11,27,Secondary Complete,Yam,Monthly,Good,1,0,0.88,False,641,Male,False,False,True,False,True,4
271,25.35,41.1,81.5,21.8,30.5,4133000.0,4074000.0,11.28,1.29,5,21,No Formal Education,Yam,Never,Fair,1,100,0.0,True,605,Female,False,False,False,True,False,1
2787,27.75,37.0,84.4,19.5,21.3,27111.0,244000.0,0.98,0.62,12,59,Primary Complete,Cowpea,Monthly,Very Good,7,85,0.0,False,668,Male,False,False,True,True,False,9
318,7.57,38.6,98.3,32.0,9.0,284600.0,1282000.0,1.29,2.21,21,37,Primary Complete,Groundnut,Never,Fair,1,0,0.55,True,582,Male,False,False,False,False,True,5
557,36.41,20.7,74.6,37.3,9.6,14143.0,198000.0,0.95,0.46,6,24,Primary Incomplete,Groundnut,Never,Poor,1,0,0.0,False,501,Female,False,False,False,False,False,14
1562,14.48,8.8,58.3,22.3,33.5,68286.0,398000.0,14.17,0.1,25,41,No Formal Education,Yam,Daily,Fair,10,0,0.0,True,617,Male,False,False,True,False,False,7
3621,39.27,5.0,55.0,25.5,28.1,19692.0,256000.0,1.57,0.41,34,62,Secondary Complete,Cowpea,Monthly,Fair,2,0,0.0,False,601,Male,False,False,True,False,False,13
760,9.78,18.8,51.3,6.1,19.0,34429.0,241000.0,2.05,0.62,6,22,No Formal Education,Sorghum,Never,Poor,1,0,0.0,False,499,Female,False,False,False,False,False,7
811,34.67,44.6,15.4,20.4,22.5,187500.0,1125000.0,0.65,1.16,31,47,Primary Incomplete,Cocoa,Never,Very Poor,1,0,0.0,False,461,Male,False,False,False,False,False,6
2013,20.1,49.7,61.5,22.8,42.5,154000.0,616000.0,17.1,0.3,6,22,Primary Complete,Cassava,Never,Poor,1,0,0.0,False,519,Male,False,False,True,False,False,4
4909,30.74,58.3,75.2,23.6,20.5,142400.0,712000.0,2.02,1.76,5,21,No Formal Education,Maize,Weekly,Fair,5,0,0.74,False,593,Female,True,False,True,False,True,5
2196,30.11,29.2,46.5,28.5,28.0,237000.0,754000.0,2.19,1.72,7,23,Primary Complete,Maize,Weekly,Very Good,9,0,0.0,True,669,Male,False,False,True,False,False,4
2663,24.39,21.5,48.0,28.9,35.1,313000.0,3049000.0,10.63,2.39,8,38,No Formal Education,Cassava,Weekly,Good,9,0,0.0,True,637,Male,False,False,True,False,False,10
4491,31.86,30.8,126.3,6.7,21.1,163250.0,294000.0,2.22,0.7,5,23,Secondary Complete,Sorghum,Rarely,Very Good,6,61,0.0,True,670,Male,False,False,True,True,False,4
981,23.74,15.2,15.9,22.9,22.8,301667.0,792000.0,1.11,1.78,12,28,Primary Incomplete,Cowpea,Never,Poor,1,0,0.49,True,505,Male,False,False,False,False,True,3
542,43.67,14.0,43.9,24.5,25.5,24333.0,203000.0,1.21,0.24,13,29,No Formal Education,Rubber,Never,Poor,1,0,0.0,True,557,Male,False,False,False,False,False,12
4402,34.66,37.1,79.0,24.0,29.5,244077.0,2694000.0,0.97,4.63,39,57,HND/BSc,Sesame,Never,Good,1,0,0.0,True,657,Male,False,False,True,False,False,13
493,19.88,23.2,95.4,6.6,17.5,75000.0,300000.0,2.55,0.62,12,28,Masters/PhD,Guinea Corn,Never,Good,1,64,0.0,False,652,Male,False,False,False,True,False,4
1990,6.24,33.3,45.8,20.1,23.3,121833.0,488000.0,1.17,1.04,9,54,Secondary Incomplete,Cowpea,Monthly,Excellent,6,0,0.0,True,709,Male,False,True,True,False,False,6
5152,35.05,63.9,38.0,26.7,38.3,74250.0,478000.0,16.6,0.24,11,61,Secondary Complete,Cassava,Rarely,Very Good,9,79,0.0,True,672,Male,False,False,True,True,False,12
1164,36.78,4.0,31.2,26.3,23.8,180000.0,268000.0,1.67,0.4,16,32,Secondary Incomplete,Cowpea,Never,Very Good,1,69,0.0,True,699,Male,False,False,False,True,False,3
769,9.53,53.2,74.3,7.8,22.0,331667.0,913000.0,2.37,2.14,2,51,Primary Incomplete,Millet,Rarely,Fair,4,0,0.0,True,572,Male,False,False,True,False,False,3
2374,15.13,42.8,93.9,32.0,43.0,551750.0,2207000.0,22.43,0.82,17,60,Secondary Complete,Cassava,Monthly,Very Good,6,64,0.62,False,668,Male,False,False,True,True,True,4
5879,44.3,21.7,20.3,24.9,27.7,19556.0,176000.0,1.11,0.4,16,64,Secondary Incomplete,Cowpea,Monthly,Good,9,91,0.0,False,626,Male,False,False,True,True,False,9
368,23.89,25.7,63.2,27.2,37.7,64833.0,596000.0,23.66,0.21,19,51,Primary Complete,Cassava,Never,Fair,1,0,0.0,True,586,Male,True,False,False,False,False,12
995,26.9,27.8,11.2,27.8,41.8,143500.0,574000.0,14.07,0.34,1,16,Primary Incomplete,Cassava,Never,Poor,1,0,0.0,False,491,Female,False,False,False,False,False,4
742,25.51,35.8,23.5,20.7,25.0,80667.0,64000.0,0.84,0.19,12,33,Primary Complete,Beans,Monthly,Good,4,0,0.0,True,652,Male,False,False,True,False,False,3
5425,28.27,11.5,83.5,23.9,32.3,190167.0,2282000.0,9.59,0.85,16,32,No Formal Education,Yam,Daily,Fair,8,0,0.0,False,617,Male,False,False,True,False,False,12
148,42.29,40.8,6.6,29.9,28.8,120615.0,1568000.0,2.13,1.05,5,21,Secondary Complete,Rubber,Never,Very Poor,1,0,0.52,False,473,Male,False,False,False,False,True,13
4651,33.25,3.6,53.3,25.5,36.5,430800.0,4202000.0,18.93,1.85,28,49,No Formal Education,Cassava,Monthly,Poor,6,0,0.5,True,555,Female,True,False,True,False,True,10
353,8.11,51.9,15.5,29.7,22.0,508000.0,1524000.0,1.85,2.17,25,64,Secondary Complete,Soybean,Monthly,Excellent,3,67,0.76,False,705,Male,False,False,True,True,True,3
330,24.05,48.8,34.7,22.6,27.7,108308.0,1245000.0,7.33,0.34,19,47,Primary Complete,Oil Palm,Never,Fair,1,84,0.0,True,607,Male,False,False,False,True,False,13
883,37.64,31.0,66.6,19.1,35.3,247500.0,1224000.0,9.7,0.45,7,45,Secondary Complete,Yam,Never,Excellent,1,0,0.96,True,747,Male,True,False,False,False,True,6
456,21.67,31.2,34.7,25.2,25.5,100200.0,691000.0,19.65,0.11,1,16,Secondary Complete,Vegetables,Never,Good,1,96,0.0,True,654,Male,False,False,False,True,False,10
2503,14.24,43.0,39.5,23.9,23.5,138333.0,276000.0,1.64,0.42,39,62,Secondary Incomplete,Cowpea,Never,Good,1,74,0.0,True,631,Male,True,False,True,True,False,3
3935,6.73,61.8,92.6,6.6,17.8,35000.0,175000.0,1.77,0.52,20,52,Primary Complete,Sorghum,Monthly,Poor,4,0,0.64,False,558,Male,False,False,True,False,True,5
4284,28.95,26.5,78.5,19.6,36.5,841571.0,5891000.0,9.65,2.18,2,52,Primary Complete,Yam,Weekly,Poor,8,0,0.0,False,554,Female,False,False,True,False,False,7
5617,5.39,59.8,70.0,20.5,24.6,43714.0,306000.0,1.07,0.48,30,46,Secondary Incomplete,Sesame,Monthly,Good,4,0,0.0,False,624,Female,False,False,True,False,False,7
5870,36.14,10.2,74.7,29.1,21.0,116769.0,1518000.0,3.89,1.95,10,60,No Formal Education,Maize,Weekly,Poor,4,0,0.63,False,556,Male,False,False,True,False,True,13
498,26.25,10.9,45.0,25.9,20.7,999400.0,4885000.0,5.85,1.67,30,58,Primary Incomplete,Oil Palm,Never,Fair,1,0,0.0,True,591,Male,False,False,False,False,False,5
4332,43.16,55.2,14.8,21.1,26.4,448000.0,1344000.0,1.12,2.0,37,63,Primary Complete,Sesame,Daily,Good,9,68,0.0,False,647,Male,False,False,True,True,False,3
3245,15.21,51.1,77.5,21.5,28.1,18545.0,204000.0,1.15,0.44,4,64,Primary Complete,Cowpea,Weekly,Poor,2,0,0.0,False,548,Female,False,False,True,False,False,11
3086,35.02,21.7,26.4,21.4,32.9,2079800.0,10399000.0,11.22,3.31,10,26,Secondary Complete,Yam,Weekly,Good,9,0,0.0,False,639,Male,False,False,True,False,False,5
5956,44.54,32.6,25.1,21.7,37.1,1470167.0,8576000.0,15.63,1.96,18,34,Secondary Incomplete,Yam,Never,Very Good,1,0,0.72,True,688,Male,True,False,True,False,True,6
294,29.14,8.8,102.7,24.9,20.5,24500.0,294000.0,0.94,0.52,27,56,No Formal Education,Sesame,Never,Poor,1,0,0.0,False,516,Male,True,False,False,False,False,12
